Age,workclass,fnlwgt,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,class
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Self-emp-not-inc,*,13,*,Exec-managerial,Husband,White,Male,0,0,*,United-States,<=50K
*,Private,*,9,*,Handlers-cleaners,Not-in-family,White,Male,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Private,*,14,*,Exec-managerial,Wife,White,Female,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Self-emp-not-inc,*,9,*,Exec-managerial,Husband,White,Male,0,0,*,United-States,>50K
*,Private,*,14,*,Prof-specialty,Not-in-family,White,Female,14084,0,*,United-States,>50K
*,Private,*,13,*,Exec-managerial,Husband,White,Male,5178,0,*,United-States,>50K
*,Private,*,10,*,Exec-managerial,Husband,Black,Male,0,0,*,United-States,>50K
*,*,*,*,*,*,*,*,*,*,*,*,*,>50K
*,Private,*,13,*,Adm-clerical,Own-child,White,Female,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Self-emp-not-inc,*,9,*,Farming-fishing,Own-child,White,Male,0,0,*,United-States,<=50K
*,Private,*,9,*,Machine-op-inspct,Unmarried,White,Male,0,0,*,United-States,<=50K
*,Private,*,7,*,Sales,Husband,White,Male,0,0,*,United-States,<=50K
*,Self-emp-not-inc,*,14,*,Exec-managerial,Unmarried,White,Female,0,0,*,United-States,>50K
*,Private,*,16,*,Prof-specialty,Husband,White,Male,0,0,*,United-States,>50K
*,Private,*,9,*,Other-service,Unmarried,Black,Female,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Private,*,9,*,Tech-support,Unmarried,White,Female,0,0,*,United-States,<=50K
*,Local-gov,*,13,*,Tech-support,Husband,White,Male,0,0,*,United-States,>50K
*,Private,*,9,*,Craft-repair,Own-child,White,Male,0,0,*,United-States,<=50K
*,Private,*,9,*,Exec-managerial,Not-in-family,White,Male,0,0,*,United-States,<=50K
*,Private,*,9,*,Craft-repair,Husband,White,Male,0,0,*,United-States,<=50K
*,Local-gov,*,12,*,Protective-serv,Not-in-family,White,Male,0,0,*,United-States,<=50K
*,Private,*,10,*,Sales,Own-child,Black,Male,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Federal-gov,*,10,*,Adm-clerical,Own-child,White,Male,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Private,*,10,*,Machine-op-inspct,Own-child,White,Male,0,0,*,United-States,<=50K
*,Private,*,9,*,Adm-clerical,Wife,White,Female,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Private,*,5,*,Machine-op-inspct,Husband,White,Male,0,0,*,United-States,<=50K
*,Self-emp-not-inc,*,13,*,Prof-specialty,Husband,White,Male,0,0,*,United-States,<=50K
*,Private,*,13,*,Tech-support,Husband,White,Male,0,0,*,United-States,<=50K
*,Private,*,9,*,Adm-clerical,Unmarried,White,Female,0,0,*,United-States,<=50K
*,Private,*,9,*,Handlers-cleaners,Not-in-family,White,Male,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,>50K
*,Private,*,9,*,Machine-op-inspct,Husband,White,Male,0,0,*,United-States,<=50K
*,Private,*,14,*,Exec-managerial,Unmarried,White,Female,0,0,*,United-States,<=50K
*,State-gov,*,11,*,Craft-repair,Husband,White,Male,0,0,*,United-States,<=50K
*,Private,*,11,*,Prof-specialty,Not-in-family,White,Male,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,>50K
*,Federal-gov,*,13,*,Exec-managerial,Not-in-family,White,Male,0,0,*,United-States,>50K
*,Self-emp-inc,*,9,*,Exec-managerial,Not-in-family,White,Male,0,0,*,United-States,<=50K
*,Private,*,10,*,Tech-support,Husband,White,Male,0,0,*,United-States,>50K
*,Private,*,3,*,Machine-op-inspct,Husband,White,Male,0,0,*,Mexico,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Private,*,9,*,Adm-clerical,Husband,White,Male,0,0,*,United-States,<=50K
*,Private,*,9,*,Machine-op-inspct,Husband,White,Male,5013,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Private,*,9,*,Transport-moving,Husband,White,Male,0,0,*,United-States,<=50K
*,Private,*,16,*,Prof-specialty,Husband,White,Male,0,0,*,United-States,>50K
*,Private,*,10,*,Tech-support,Not-in-family,White,Male,0,0,*,United-States,<=50K
*,Private,*,9,*,Craft-repair,Husband,White,Male,0,0,*,United-States,<=50K
*,Private,*,10,*,Adm-clerical,Not-in-family,White,Female,0,0,*,United-States,<=50K
*,Private,*,9,*,Adm-clerical,Wife,White,Female,0,0,*,United-States,>50K
*,Self-emp-inc,*,10,*,Exec-managerial,Husband,White,Male,0,0,*,United-States,>50K
*,Private,*,10,*,Prof-specialty,Own-child,White,Male,0,0,*,United-States,<=50K
*,Private,*,13,*,Sales,Own-child,Black,Female,0,0,*,United-States,<=50K
*,Self-emp-not-inc,*,13,*,Sales,Husband,White,Male,0,0,*,United-States,>50K
*,Private,*,10,*,Machine-op-inspct,Not-in-family,White,Male,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Private,*,9,*,Other-service,Own-child,White,Male,0,0,*,Mexico,<=50K
*,Private,*,12,*,Adm-clerical,Husband,White,Male,0,0,*,United-States,<=50K
*,Private,*,7,*,Other-service,Own-child,White,Female,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Private,*,9,*,Sales,Not-in-family,White,Male,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Private,*,9,*,Other-service,Wife,White,Female,0,0,*,United-States,<=50K
*,Private,*,9,*,Sales,Husband,White,Male,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,>50K
*,Private,*,9,*,Sales,Own-child,White,Female,0,0,*,United-States,<=50K
*,Local-gov,*,9,*,Protective-serv,Husband,White,Male,0,0,*,United-States,>50K
*,Private,*,14,*,Prof-specialty,Husband,White,Male,0,0,*,United-States,<=50K
*,Private,*,5,*,Sales,Not-in-family,White,Male,0,0,*,United-States,<=50K
*,Federal-gov,*,16,*,Prof-specialty,Not-in-family,White,Female,0,0,*,United-States,>50K
*,Private,*,11,*,Prof-specialty,Husband,White,Male,0,0,*,United-States,<=50K
*,Private,*,10,*,Craft-repair,Unmarried,White,Female,0,0,*,United-States,<=50K
*,Private,*,10,*,Machine-op-inspct,Unmarried,Black,Female,0,0,*,United-States,<=50K
*,Local-gov,*,13,*,Protective-serv,Husband,White,Male,0,0,*,United-States,>50K
*,Local-gov,*,10,*,Handlers-cleaners,Not-in-family,White,Male,0,0,*,United-States,<=50K
*,Self-emp-not-inc,*,16,*,Prof-specialty,Husband,White,Male,0,1902,*,United-States,>50K
*,Private,*,10,*,Sales,Husband,White,Male,0,0,*,United-States,>50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Private,*,14,*,Exec-managerial,Husband,White,Male,0,0,*,United-States,>50K
*,Private,*,13,*,Exec-managerial,Husband,White,Male,15024,0,*,United-States,>50K
*,Self-emp-not-inc,*,14,*,Prof-specialty,Not-in-family,White,Female,0,0,*,United-States,<=50K
*,Private,*,10,*,Tech-support,Own-child,White,Female,0,0,*,United-States,<=50K
*,Private,*,9,*,Craft-repair,Not-in-family,White,Male,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,>50K
*,Private,*,7,*,Handlers-cleaners,Own-child,White,Male,0,0,*,United-States,<=50K
*,Local-gov,*,9,*,Adm-clerical,Not-in-family,White,Female,0,0,*,United-States,<=50K
*,Private,*,9,*,Handlers-cleaners,Husband,White,Male,0,0,*,United-States,<=50K
*,Private,*,13,*,Sales,Other-relative,White,Male,0,0,*,United-States,<=50K
*,Private,*,15,*,Prof-specialty,Husband,White,Male,0,0,*,United-States,>50K
*,*,*,*,*,*,*,*,*,*,*,*,*,>50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Private,*,9,*,Machine-op-inspct,Own-child,White,Female,0,0,*,United-States,<=50K
*,Private,*,5,*,Handlers-cleaners,Husband,White,Male,0,0,*,United-States,<=50K
*,Self-emp-inc,*,10,*,Sales,Husband,White,Male,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,>50K
*,Private,*,10,*,Sales,Husband,White,Male,0,0,*,United-States,<=50K
*,Private,*,9,*,Craft-repair,Not-in-family,White,Male,0,0,*,United-States,<=50K
*,Private,*,10,*,Other-service,Own-child,White,Female,0,0,*,United-States,<=50K
*,Private,*,13,*,Exec-managerial,Husband,White,Male,0,0,*,United-States,<=50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,State-gov,*,13,*,Prof-specialty,Husband,White,Male,0,0,*,United-States,>50K
*,Private,*,10,*,Other-service,Own-child,Black,Male,0,0,*,United-States,<=50K
*,Private,*,13,*,Exec-managerial,Wife,White,Female,0,0,*,United-States,>50K
*,*,*,*,*,*,*,*,*,*,*,*,*,<=50K
*,Private,*,12,*,Adm-clerical,Husband,White,Male,0,0,*,United-States,>50K
