buying;maintenance;doors;persons;luggage_boot;safety;class
*;low/med;2-3;4;big;high;vgood
*;low/med;4+;more;small;high;good
*;vhigh/high;2-3;2;small;low;unacc
*;low/med;2-3;more;med;med;acc
*;vhigh/high;2-3;2;small;med;unacc
*;vhigh/high;2-3;2;small;high;unacc
*;vhigh/high;2-3;2;med;low;unacc
*;vhigh/high;2-3;2;med;med;unacc
*;vhigh/high;2-3;2;med;high;unacc
*;vhigh/high;2-3;2;big;low;unacc
*;vhigh/high;2-3;2;big;med;unacc
*;vhigh/high;2-3;2;big;high;unacc
*;vhigh/high;2-3;4;small;low;unacc
*;vhigh/high;2-3;4;small;med;unacc
*;vhigh/high;2-3;4;small;high;unacc
*;vhigh/high;2-3;4;med;low;unacc
*;vhigh/high;2-3;4;med;med;unacc
*;vhigh/high;2-3;4;med;high;unacc
*;vhigh/high;2-3;4;big;low;unacc
*;vhigh/high;2-3;4;big;med;unacc
*;vhigh/high;2-3;4;big;high;unacc
*;vhigh/high;2-3;more;small;low;unacc
*;vhigh/high;2-3;more;small;med;unacc
*;vhigh/high;2-3;more;small;high;unacc
*;vhigh/high;2-3;more;med;low;unacc
*;vhigh/high;2-3;more;med;med;unacc
*;vhigh/high;2-3;more;med;high;unacc
*;vhigh/high;2-3;more;big;low;unacc
*;vhigh/high;2-3;more;big;med;unacc
*;vhigh/high;2-3;more;big;high;unacc
*;vhigh/high;2-3;2;small;low;unacc
*;vhigh/high;2-3;2;small;med;unacc
*;vhigh/high;2-3;2;small;high;unacc
*;vhigh/high;2-3;2;med;low;unacc
*;vhigh/high;2-3;2;med;med;unacc
*;vhigh/high;2-3;2;med;high;unacc
*;vhigh/high;2-3;2;big;low;unacc
*;vhigh/high;2-3;2;big;med;unacc
*;vhigh/high;2-3;2;big;high;unacc
*;vhigh/high;2-3;4;small;low;unacc
*;vhigh/high;2-3;4;small;med;unacc
*;vhigh/high;2-3;4;small;high;unacc
*;vhigh/high;2-3;4;med;low;unacc
*;vhigh/high;2-3;4;med;med;unacc
*;vhigh/high;2-3;4;med;high;unacc
*;vhigh/high;2-3;4;big;low;unacc
*;vhigh/high;2-3;4;big;med;unacc
*;vhigh/high;2-3;4;big;high;unacc
*;vhigh/high;2-3;more;small;low;unacc
*;vhigh/high;2-3;more;small;med;unacc
*;vhigh/high;2-3;more;small;high;unacc
*;vhigh/high;2-3;more;med;low;unacc
*;vhigh/high;2-3;more;med;med;unacc
*;vhigh/high;2-3;more;med;high;unacc
*;vhigh/high;2-3;more;big;low;unacc
*;vhigh/high;2-3;more;big;med;unacc
*;vhigh/high;2-3;more;big;high;unacc
*;vhigh/high;4+;2;small;low;unacc
*;vhigh/high;4+;2;small;med;unacc
*;vhigh/high;4+;2;small;high;unacc
*;vhigh/high;4+;2;med;low;unacc
*;vhigh/high;4+;2;med;med;unacc
*;vhigh/high;4+;2;med;high;unacc
*;vhigh/high;4+;2;big;low;unacc
*;vhigh/high;4+;2;big;med;unacc
*;vhigh/high;4+;2;big;high;unacc
*;vhigh/high;4+;4;small;low;unacc
*;vhigh/high;4+;4;small;med;unacc
*;vhigh/high;4+;4;small;high;unacc
*;vhigh/high;4+;4;med;low;unacc
*;vhigh/high;4+;4;med;med;unacc
*;vhigh/high;4+;4;med;high;unacc
*;vhigh/high;4+;4;big;low;unacc
*;vhigh/high;4+;4;big;med;unacc
*;vhigh/high;4+;4;big;high;unacc
*;vhigh/high;4+;more;small;low;unacc
*;vhigh/high;4+;more;small;med;unacc
*;vhigh/high;4+;more;small;high;unacc
*;vhigh/high;4+;more;med;low;unacc
*;vhigh/high;4+;more;med;med;unacc
*;vhigh/high;4+;more;med;high;unacc
*;vhigh/high;4+;more;big;low;unacc
*;vhigh/high;4+;more;big;med;unacc
*;vhigh/high;4+;more;big;high;unacc
*;vhigh/high;4+;2;small;low;unacc
*;vhigh/high;4+;2;small;med;unacc
*;vhigh/high;4+;2;small;high;unacc
*;vhigh/high;4+;2;med;low;unacc
*;vhigh/high;4+;2;med;med;unacc
*;vhigh/high;4+;2;med;high;unacc
*;vhigh/high;4+;2;big;low;unacc
*;vhigh/high;4+;2;big;med;unacc
*;vhigh/high;4+;2;big;high;unacc
*;vhigh/high;4+;4;small;low;unacc
*;vhigh/high;4+;4;small;med;unacc
*;vhigh/high;4+;4;small;high;unacc
*;vhigh/high;4+;4;med;low;unacc
*;vhigh/high;4+;4;med;med;unacc
*;vhigh/high;4+;4;med;high;unacc
*;vhigh/high;4+;4;big;low;unacc
*;vhigh/high;4+;4;big;med;unacc
*;vhigh/high;4+;4;big;high;unacc
*;vhigh/high;4+;more;small;low;unacc
*;vhigh/high;4+;more;small;med;unacc
*;vhigh/high;4+;more;small;high;unacc
*;vhigh/high;4+;more;med;low;unacc
*;vhigh/high;4+;more;med;med;unacc
*;vhigh/high;4+;more;med;high;unacc
*;vhigh/high;4+;more;big;low;unacc
*;vhigh/high;4+;more;big;med;unacc
*;vhigh/high;4+;more;big;high;unacc
*;vhigh/high;2-3;2;small;low;unacc
*;vhigh/high;2-3;2;small;med;unacc
*;vhigh/high;2-3;2;small;high;unacc
*;vhigh/high;2-3;2;med;low;unacc
*;vhigh/high;2-3;2;med;med;unacc
*;vhigh/high;2-3;2;med;high;unacc
*;vhigh/high;2-3;2;big;low;unacc
*;vhigh/high;2-3;2;big;med;unacc
*;vhigh/high;2-3;2;big;high;unacc
*;vhigh/high;2-3;4;small;low;unacc
*;vhigh/high;2-3;4;small;med;unacc
*;vhigh/high;2-3;4;small;high;unacc
*;vhigh/high;2-3;4;med;low;unacc
*;vhigh/high;2-3;4;med;med;unacc
*;vhigh/high;2-3;4;med;high;unacc
*;vhigh/high;2-3;4;big;low;unacc
*;vhigh/high;2-3;4;big;med;unacc
*;vhigh/high;2-3;4;big;high;unacc
*;vhigh/high;2-3;more;small;low;unacc
*;vhigh/high;2-3;more;small;med;unacc
*;vhigh/high;2-3;more;small;high;unacc
*;vhigh/high;2-3;more;med;low;unacc
*;vhigh/high;2-3;more;med;med;unacc
*;vhigh/high;2-3;more;med;high;unacc
*;vhigh/high;2-3;more;big;low;unacc
*;vhigh/high;2-3;more;big;med;unacc
*;vhigh/high;2-3;more;big;high;unacc
*;vhigh/high;2-3;2;small;low;unacc
*;vhigh/high;2-3;2;small;med;unacc
*;vhigh/high;2-3;2;small;high;unacc
*;vhigh/high;2-3;2;med;low;unacc
*;vhigh/high;2-3;2;med;med;unacc
*;vhigh/high;2-3;2;med;high;unacc
*;vhigh/high;2-3;2;big;low;unacc
*;vhigh/high;2-3;2;big;med;unacc
*;vhigh/high;2-3;2;big;high;unacc
*;vhigh/high;2-3;4;small;low;unacc
*;vhigh/high;2-3;4;small;med;unacc
*;vhigh/high;2-3;4;small;high;unacc
*;vhigh/high;2-3;4;med;low;unacc
*;vhigh/high;2-3;4;med;med;unacc
*;vhigh/high;2-3;4;med;high;unacc
*;vhigh/high;2-3;4;big;low;unacc
*;vhigh/high;2-3;4;big;med;unacc
*;vhigh/high;2-3;4;big;high;unacc
*;vhigh/high;2-3;more;small;low;unacc
*;vhigh/high;2-3;more;small;med;unacc
*;vhigh/high;2-3;more;small;high;unacc
*;vhigh/high;2-3;more;med;low;unacc
*;vhigh/high;2-3;more;med;med;unacc
*;vhigh/high;2-3;more;med;high;unacc
*;vhigh/high;2-3;more;big;low;unacc
*;vhigh/high;2-3;more;big;med;unacc
*;vhigh/high;2-3;more;big;high;unacc
*;vhigh/high;4+;2;small;low;unacc
*;vhigh/high;4+;2;small;med;unacc
*;vhigh/high;4+;2;small;high;unacc
*;vhigh/high;4+;2;med;low;unacc
*;vhigh/high;4+;2;med;med;unacc
*;vhigh/high;4+;2;med;high;unacc
*;vhigh/high;4+;2;big;low;unacc
*;vhigh/high;4+;2;big;med;unacc
*;vhigh/high;4+;2;big;high;unacc
*;vhigh/high;4+;4;small;low;unacc
*;vhigh/high;4+;4;small;med;unacc
*;vhigh/high;4+;4;small;high;unacc
*;vhigh/high;4+;4;med;low;unacc
*;vhigh/high;4+;4;med;med;unacc
*;vhigh/high;4+;4;med;high;unacc
*;vhigh/high;4+;4;big;low;unacc
*;vhigh/high;4+;4;big;med;unacc
*;vhigh/high;4+;4;big;high;unacc
*;vhigh/high;4+;more;small;low;unacc
*;vhigh/high;4+;more;small;med;unacc
*;vhigh/high;4+;more;small;high;unacc
*;vhigh/high;4+;more;med;low;unacc
*;vhigh/high;4+;more;med;med;unacc
*;vhigh/high;4+;more;med;high;unacc
*;vhigh/high;4+;more;big;low;unacc
*;vhigh/high;4+;more;big;med;unacc
*;vhigh/high;4+;more;big;high;unacc
*;vhigh/high;4+;2;small;low;unacc
*;vhigh/high;4+;2;small;med;unacc
*;vhigh/high;4+;2;small;high;unacc
*;vhigh/high;4+;2;med;low;unacc
*;vhigh/high;4+;2;med;med;unacc
*;vhigh/high;4+;2;med;high;unacc
*;vhigh/high;4+;2;big;low;unacc
*;vhigh/high;4+;2;big;med;unacc
*;vhigh/high;4+;2;big;high;unacc
*;vhigh/high;4+;4;small;low;unacc
*;vhigh/high;4+;4;small;med;unacc
*;vhigh/high;4+;4;small;high;unacc
*;vhigh/high;4+;4;med;low;unacc
*;vhigh/high;4+;4;med;med;unacc
*;vhigh/high;4+;4;med;high;unacc
*;vhigh/high;4+;4;big;low;unacc
*;vhigh/high;4+;4;big;med;unacc
*;vhigh/high;4+;4;big;high;unacc
*;vhigh/high;4+;more;small;low;unacc
*;vhigh/high;4+;more;small;med;unacc
*;vhigh/high;4+;more;small;high;unacc
*;vhigh/high;4+;more;med;low;unacc
*;vhigh/high;4+;more;med;med;unacc
*;vhigh/high;4+;more;med;high;unacc
*;vhigh/high;4+;more;big;low;unacc
*;vhigh/high;4+;more;big;med;unacc
*;vhigh/high;4+;more;big;high;unacc
*;low/med;2-3;2;small;low;unacc
*;low/med;2-3;2;small;med;unacc
*;low/med;2-3;2;small;high;unacc
*;low/med;2-3;2;med;low;unacc
*;low/med;2-3;2;med;med;unacc
*;low/med;2-3;2;med;high;unacc
*;low/med;2-3;2;big;low;unacc
*;low/med;2-3;2;big;med;unacc
*;low/med;2-3;2;big;high;unacc
*;low/med;2-3;4;small;low;unacc
*;low/med;2-3;4;small;med;unacc
*;low/med;2-3;4;small;high;acc
*;low/med;2-3;4;med;low;unacc
*;low/med;2-3;4;med;med;unacc
*;low/med;2-3;4;med;high;acc
*;low/med;2-3;4;big;low;unacc
*;low/med;2-3;4;big;med;acc
*;low/med;2-3;4;big;high;acc
*;low/med;2-3;more;small;low;unacc
*;low/med;2-3;more;small;med;unacc
*;low/med;2-3;more;small;high;unacc
*;low/med;2-3;more;med;low;unacc
