buying;maintenance;doors;persons;luggage_boot;safety;class
low/med;low/med;2;*;big;high;vgood
low/med;low/med;4;*;small;high;good
vhigh/high;vhigh/high;2;*;small;low;unacc
vhigh/high;low/med;3;*;med;med;acc
vhigh/high;vhigh/high;2;*;small;med;unacc
vhigh/high;vhigh/high;2;*;small;high;unacc
vhigh/high;vhigh/high;2;*;med;low;unacc
vhigh/high;vhigh/high;2;*;med;med;unacc
vhigh/high;vhigh/high;2;*;med;high;unacc
vhigh/high;vhigh/high;2;*;big;low;unacc
vhigh/high;vhigh/high;2;*;big;med;unacc
vhigh/high;vhigh/high;2;*;big;high;unacc
vhigh/high;vhigh/high;2;*;small;low;unacc
vhigh/high;vhigh/high;2;*;small;med;unacc
vhigh/high;vhigh/high;2;*;small;high;unacc
vhigh/high;vhigh/high;2;*;med;low;unacc
vhigh/high;vhigh/high;2;*;med;med;unacc
vhigh/high;vhigh/high;2;*;med;high;unacc
vhigh/high;vhigh/high;2;*;big;low;unacc
vhigh/high;vhigh/high;2;*;big;med;unacc
vhigh/high;vhigh/high;2;*;big;high;unacc
vhigh/high;vhigh/high;2;*;small;low;unacc
vhigh/high;vhigh/high;2;*;small;med;unacc
vhigh/high;vhigh/high;2;*;small;high;unacc
vhigh/high;vhigh/high;2;*;med;low;unacc
vhigh/high;vhigh/high;2;*;med;med;unacc
vhigh/high;vhigh/high;2;*;med;high;unacc
vhigh/high;vhigh/high;2;*;big;low;unacc
vhigh/high;vhigh/high;2;*;big;med;unacc
vhigh/high;vhigh/high;2;*;big;high;unacc
vhigh/high;vhigh/high;3;*;small;low;unacc
vhigh/high;vhigh/high;3;*;small;med;unacc
vhigh/high;vhigh/high;3;*;small;high;unacc
vhigh/high;vhigh/high;3;*;med;low;unacc
vhigh/high;vhigh/high;3;*;med;med;unacc
vhigh/high;vhigh/high;3;*;med;high;unacc
vhigh/high;vhigh/high;3;*;big;low;unacc
vhigh/high;vhigh/high;3;*;big;med;unacc
vhigh/high;vhigh/high;3;*;big;high;unacc
vhigh/high;vhigh/high;3;*;small;low;unacc
vhigh/high;vhigh/high;3;*;small;med;unacc
vhigh/high;vhigh/high;3;*;small;high;unacc
vhigh/high;vhigh/high;3;*;med;low;unacc
vhigh/high;vhigh/high;3;*;med;med;unacc
vhigh/high;vhigh/high;3;*;med;high;unacc
vhigh/high;vhigh/high;3;*;big;low;unacc
vhigh/high;vhigh/high;3;*;big;med;unacc
vhigh/high;vhigh/high;3;*;big;high;unacc
vhigh/high;vhigh/high;3;*;small;low;unacc
vhigh/high;vhigh/high;3;*;small;med;unacc
vhigh/high;vhigh/high;3;*;small;high;unacc
vhigh/high;vhigh/high;3;*;med;low;unacc
vhigh/high;vhigh/high;3;*;med;med;unacc
vhigh/high;vhigh/high;3;*;med;high;unacc
vhigh/high;vhigh/high;3;*;big;low;unacc
vhigh/high;vhigh/high;3;*;big;med;unacc
vhigh/high;vhigh/high;3;*;big;high;unacc
vhigh/high;vhigh/high;4;*;small;low;unacc
vhigh/high;vhigh/high;4;*;small;med;unacc
vhigh/high;vhigh/high;4;*;small;high;unacc
vhigh/high;vhigh/high;4;*;med;low;unacc
vhigh/high;vhigh/high;4;*;med;med;unacc
vhigh/high;vhigh/high;4;*;med;high;unacc
vhigh/high;vhigh/high;4;*;big;low;unacc
